Date,macdh
2010-08-29,-0.15883907534561703
2010-08-30,0.007592349352160758
2010-08-31,0.07800287496121278
2010-09-01,0.04182909376616467
2010-09-02,0.01920251668339094
2010-09-05,-0.5255615786306345
2010-09-06,-0.4155258462382793
2010-09-07,-0.2745862346307085
2010-09-08,-0.2511101196746565
2010-09-09,-0.18082232657910283
2010-09-12,-0.5687862104133591
2010-09-13,-0.37393079821408937
2010-09-14,-0.34263726995383664
2010-09-15,-0.13081957257182092
2010-09-16,-0.008089047255696688
2010-09-19,-0.3427560965270898
2010-09-20,-0.021291573276496494
2010-09-21,0.17921150009727538
2010-09-22,-0.10134696045777587
2010-09-23,0.09729082550522637
2010-09-26,-0.20547282787739535
2010-09-27,-0.005208027691147482
2010-09-28,0.13498537716875966
2010-09-29,0.184884494327874
