Date,Open,High,Low,Close,Adj Close,Volume
2014-10-09,2.3931,2.4206,2.3786,2.3949,2.3949,0.0
2014-10-12,2.423,2.4267,2.3775,2.386,2.386,0.0
2014-10-13,2.3906,2.4025,2.3874,2.3905,2.3905,0.0
2014-10-14,2.3967,2.4433,2.3785,2.3961,2.3961,0.0
2014-10-15,2.4524,2.4989,2.4342,2.4524,2.4524,0.0
2014-10-16,2.4644,2.4672,2.4268,2.4659,2.4659,0.0
2014-10-19,2.4307,2.4609,2.4197,2.4307,2.4307,0.0
2014-10-20,2.4622,2.4967,2.4602,2.4622,2.4622,0.0
2014-10-21,2.476,2.4875,2.4578,2.478,2.478,0.0
2014-10-22,2.4701,2.505,2.4701,2.4843,2.4843,0.0
2014-10-23,2.4955,2.4967,2.45,2.4957,2.4957,0.0
2014-10-27,2.4668,2.5521,2.4668,2.4689,2.4689,0.0
2014-10-28,2.5196,2.5197,2.4714,2.5196,2.5196,0.0
2014-10-29,2.4582,2.4664,2.4197,2.4582,2.4582,0.0
2014-10-30,2.458,2.4585,2.389,2.4578,2.4578,0.0
2014-10-31,2.4016,2.4519,2.3938,2.4016,2.4016,0.0
2014-11-03,2.4236,2.5011,2.4236,2.4135,2.4135,0.0
2014-11-04,2.4921,2.5277,2.4904,2.4923,2.4923,0.0
2014-11-05,2.4938,2.5252,2.4936,2.4939,2.4939,0.0
2014-11-06,2.5017,2.5468,2.4986,2.5013,2.5013,0.0
2014-11-07,2.5664,2.5851,2.546,2.5666,2.5666,0.0
2014-11-10,2.5538,2.5562,2.5295,2.5489,2.5489,0.0
2014-11-11,2.5493,2.5675,2.5351,2.5494,2.5494,0.0
2014-11-12,2.5542,2.5606,2.5324,2.5544,2.5544,0.0
2014-11-13,2.5633,2.5764,2.5437,2.5631,2.5631,0.0
2014-11-14,2.5856,2.625,2.584,2.5859,2.5859,0.0
2014-11-17,2.5968,2.6149,2.578,2.5968,2.5968,0.0
2014-11-18,2.6051,2.6056,2.5828,2.6047,2.6047,0.0
2014-11-19,2.5793,2.5963,2.5677,2.5791,2.5791,0.0
2014-11-20,2.5688,2.5718,2.5519,2.5689,2.5689,0.0
2014-11-21,2.5698,2.5709,2.5159,2.5697,2.5697,0.0
2014-11-24,2.5141,2.5405,2.4996,2.512,2.512,0.0
2014-11-25,2.5424,2.5455,2.5148,2.5425,2.5425,0.0
2014-11-26,2.5269,2.5281,2.4941,2.5271,2.5271,0.0
2014-11-27,2.4979,2.5133,2.4907,2.4979,2.4979,0.0
2014-11-28,2.5272,2.5788,2.5243,2.5272,2.5272,0.0
2014-12-01,2.5609,2.5752,2.5413,2.5315,2.5315,0.0
2014-12-02,2.5566,2.5775,2.5435,2.557,2.557,0.0
2014-12-03,2.5648,2.5827,2.5467,2.5649,2.5649,0.0
2014-12-04,2.5494,2.5895,2.5427,2.5491,2.5491,0.0
2014-12-05,2.5882,2.6035,2.5668,2.5883,2.5883,0.0
2014-12-08,2.5835,2.5969,2.5737,2.5861,2.5861,0.0
2014-12-09,2.597,2.6085,2.5783,2.5966,2.5966,0.0
2014-12-10,2.5895,2.6031,2.5749,2.5895,2.5895,0.0
2014-12-11,2.6131,2.6487,2.597,2.6131,2.6131,0.0
2014-12-12,2.6468,2.6656,2.6302,2.6467,2.6467,0.0
2014-12-15,2.6296,2.6882,2.6296,2.6496,2.6496,0.0
2014-12-16,2.6922,2.7548,2.6809,2.6921,2.6921,0.0
2014-12-17,2.7353,2.7444,2.6877,2.7352,2.7352,0.0
2014-12-18,2.7124,2.7129,2.653,2.712,2.712,0.0
2014-12-19,2.6593,2.6626,2.6313,2.6593,2.6593,0.0
2014-12-22,2.6392,2.6595,2.634,2.6565,2.6565,0.0
2014-12-23,2.6621,2.7062,2.6405,2.6624,2.6624,0.0
2014-12-24,2.6913,2.695,2.675,2.6912,2.6912,0.0
2014-12-25,2.6913,2.6952,2.675,2.6912,2.6912,0.0
2014-12-26,2.6867,2.6867,2.6867,2.6952,2.6952,0.0
2014-12-29,2.6783,2.6948,2.6522,2.6927,2.6927,0.0
2014-12-30,2.6995,2.7011,2.6445,2.6993,2.6993,0.0
2014-12-31,2.6541,2.6545,2.6374,2.6541,2.6541,0.0
2015-01-01,2.6525,2.6525,2.6525,2.6542,2.6542,0.0
2015-01-02,2.6614,2.7041,2.6525,2.6532,2.6532,0.0
2015-01-05,2.6779,2.7149,2.6779,2.6912,2.6912,0.0
2015-01-06,2.7034,2.7187,2.6888,2.7031,2.7031,0.0
2015-01-07,2.6968,2.6976,2.66,2.6966,2.6966,0.0
2015-01-08,2.6799,2.6986,2.6587,2.6808,2.6808,0.0
2015-01-09,2.66,2.6706,2.6258,2.6597,2.6597,0.0
2015-01-12,2.621,2.6695,2.621,2.6264,2.6264,0.0
2015-01-13,2.6702,2.679,2.629,2.6702,2.6702,0.0
2015-01-14,2.6399,2.6491,2.6,2.6396,2.6396,0.0
2015-01-15,2.6125,2.6282,2.593,2.6121,2.6121,0.0
2015-01-16,2.6387,2.6415,2.6122,2.6387,2.6387,0.0
2015-01-19,2.6031,2.6284,2.5989,2.6169,2.6169,0.0
2015-01-20,2.6482,2.6491,2.6131,2.6481,2.6481,0.0
2015-01-21,2.6109,2.6117,2.5826,2.611,2.611,0.0
2015-01-22,2.597,2.5985,2.5454,2.5971,2.5971,0.0
2015-01-23,2.5709,2.5926,2.5666,2.5707,2.5707,0.0
2015-01-26,2.5841,2.6036,2.5748,2.5778,2.5778,0.0
2015-01-27,2.5801,2.5944,2.562,2.5799,2.5799,0.0
2015-01-28,2.5687,2.5871,2.5476,2.5693,2.5693,0.0
2015-01-29,2.5729,2.6007,2.5715,2.5731,2.5731,0.0
2015-01-30,2.6001,2.6854,2.5995,2.6002,2.6002,0.0
2015-02-02,2.6788,2.7089,2.6514,2.6788,2.6788,0.0
2015-02-03,2.7236,2.7255,2.6897,2.7236,2.7236,0.0
2015-02-04,2.691,2.7323,2.69,2.6911,2.6911,0.0
2015-02-05,2.7383,2.7566,2.7068,2.7383,2.7383,0.0
2015-02-06,2.7413,2.7791,2.7412,2.7416,2.7416,0.0
2015-02-09,2.7583,2.7918,2.7574,2.7796,2.7796,0.0
2015-02-10,2.7662,2.8348,2.754,2.7663,2.7663,0.0
2015-02-11,2.8305,2.8699,2.83,2.8311,2.8311,0.0
2015-02-12,2.8656,2.8742,2.8368,2.8655,2.8655,0.0
2015-02-13,2.817,2.8523,2.8125,2.817,2.817,0.0
2015-02-16,2.8255,2.8313,2.8127,2.8309,2.8309,0.0
2015-02-17,2.8261,2.8265,2.811,2.826,2.826,0.0
2015-02-18,2.8258,2.8448,2.8068,2.8257,2.8257,0.0
2015-02-19,2.8345,2.8638,2.8192,2.834,2.834,0.0
2015-02-20,2.8629,2.8808,2.8495,2.8633,2.8633,0.0
2015-02-23,2.8641,2.8976,2.8597,2.8641,2.8641,0.0
2015-02-24,2.8755,2.8822,2.8534,2.8747,2.8747,0.0
2015-02-25,2.8547,2.8794,2.8281,2.857,2.857,0.0
2015-02-26,2.8715,2.887,2.838,2.8688,2.8688,0.0
2015-02-27,2.9044,2.9153,2.8536,2.905,2.905,0.0
2015-03-02,2.8368,2.8813,2.834,2.8368,2.8368,0.0
2015-03-03,2.8926,2.9135,2.8926,2.8927,2.8927,0.0
2015-03-04,2.9274,2.9965,2.9268,2.9279,2.9279,0.0
2015-03-05,2.9737,2.9966,2.9733,2.9714,2.9714,0.0
2015-03-06,2.9998,3.0668,2.9711,3.0001,3.0001,0.0
2015-03-09,3.0577,3.1028,3.056,3.057,3.057,0.0
2015-03-10,3.1236,3.166,3.0945,3.1227,3.1227,0.0
2015-03-11,3.1015,3.136,3.079,3.1016,3.1016,0.0
2015-03-12,3.1272,3.1303,3.073,3.1269,3.1269,0.0
2015-03-13,3.1623,3.272,3.1608,3.1631,3.1631,0.0
2015-03-16,3.2443,3.2476,3.2092,3.245,3.245,0.0
2015-03-17,3.2426,3.2783,3.2165,3.2428,3.2428,0.0
2015-03-18,3.2471,3.2744,3.2138,3.2462,3.2462,0.0
2015-03-19,3.2177,3.297,3.2177,3.2181,3.2181,0.0
2015-03-20,3.2909,3.3103,3.206,3.2904,3.2904,0.0
2015-03-23,3.2311,3.2311,3.1576,3.2246,3.2246,0.0
2015-03-24,3.1286,3.1674,3.0906,3.1283,3.1283,0.0
2015-03-25,3.1361,3.1671,3.1117,3.1362,3.1362,0.0
2015-03-26,3.1976,3.2159,3.1695,3.1973,3.1973,0.0
2015-03-27,3.179,3.2433,3.1783,3.1795,3.1795,0.0
2015-03-29,3.2539,3.285,3.2241,3.2412,3.2412,0.0
2015-03-30,3.2266,3.2632,3.1661,3.226,3.226,0.0
2015-03-31,3.1897,3.1908,3.1343,3.1885,3.1885,0.0
2015-04-01,3.1646,3.1784,3.1328,3.1643,3.1643,0.0
2015-04-02,3.1216,3.1216,3.12,3.1222,3.1222,0.0
2015-04-05,3.0895,3.1007,3.0865,3.1216,3.1216,0.0
2015-04-06,3.1216,3.1431,3.1029,3.1216,3.1216,0.0
2015-04-07,3.1251,3.1265,3.0619,3.1251,3.1251,0.0
2015-04-08,3.0454,3.0606,3.0193,3.0461,3.0461,0.0
2015-04-09,3.0543,3.0894,3.0341,3.0553,3.0553,0.0
2015-04-12,3.0688,3.1136,3.0523,3.0718,3.0718,0.0
2015-04-13,3.1195,3.1218,3.0683,3.1192,3.1192,0.0
2015-04-14,3.0642,3.0884,3.0465,3.0646,3.0646,0.0
2015-04-15,3.025,3.037,3.0021,3.0259,3.0259,0.0
2015-04-16,3.0189,3.0655,3.0012,3.0186,3.0186,0.0
2015-04-19,3.0372,3.0529,3.0156,3.0367,3.0367,0.0
2015-04-20,3.0294,3.036,3.0106,3.0294,3.0294,0.0
2015-04-21,3.0305,3.0322,2.9934,3.026,3.026,0.0
2015-04-22,3.0044,3.0271,2.971,3.0052,3.0052,0.0
2015-04-23,2.9692,2.9848,2.9534,2.9685,2.9685,0.0
2015-04-26,2.9478,2.9556,2.8976,2.9483,2.9483,0.0
2015-04-27,2.9126,2.9184,2.8799,2.9131,2.9131,0.0
2015-04-28,2.933,2.9533,2.9115,2.9348,2.9348,0.0
2015-04-29,2.9531,3.0142,2.9382,2.9527,2.9527,0.0
2015-04-30,3.0151,3.0805,3.0111,3.0111,3.0111,0.0
2015-05-03,3.0215,3.0774,2.9905,3.0111,3.0111,0.0
2015-05-04,3.0781,3.0865,3.0392,3.083,3.083,0.0
2015-05-05,3.053,3.069,3.0194,3.0531,3.0531,0.0
2015-05-06,3.0074,3.0579,3.0074,3.0287,3.0287,0.0
2015-05-07,3.0219,3.0374,2.975,3.0213,3.0213,0.0
2015-05-10,2.9735,3.0405,2.9523,2.9712,2.9712,0.0
2015-05-11,3.0558,3.0729,3.0148,3.0564,3.0564,0.0
2015-05-12,3.0174,3.0229,2.9811,3.0175,3.0175,0.0
2015-05-13,3.0363,3.0372,2.9914,3.0365,3.0365,0.0
2015-05-14,2.9901,3.011,2.9683,2.9899,2.9899,0.0
2015-05-17,2.9958,3.0217,2.9856,2.9914,2.9914,0.0
2015-05-18,3.0062,3.0381,2.9864,3.0058,3.0058,0.0
2015-05-19,3.0315,3.041,3.0195,3.0316,3.0316,0.0
2015-05-20,3.0015,3.041,2.9887,3.0017,3.0017,0.0
2015-05-21,3.037,3.0697,3.0178,3.0367,3.0367,0.0
2015-05-24,3.0749,3.1288,3.0749,3.089,3.089,0.0
2015-05-25,3.0783,3.1494,3.0783,3.0932,3.0932,0.0
2015-05-26,3.1478,3.18,3.1462,3.148,3.148,0.0
2015-05-27,3.1382,3.1785,3.1222,3.1379,3.1379,0.0
2015-05-28,3.1587,3.1901,3.1356,3.1584,3.1584,0.0
2015-05-31,3.1854,3.2079,3.1567,3.1758,3.1758,0.0
2015-06-01,3.1708,3.1734,3.1291,3.1695,3.1695,0.0
2015-06-02,3.128,3.1419,3.0983,3.1286,3.1286,0.0
2015-06-03,3.132,3.1423,3.1303,3.1332,3.1332,0.0
2015-06-04,3.1399,3.1817,3.1016,3.1402,3.1402,0.0
2015-06-07,3.1428,3.1465,3.1064,3.1396,3.1396,0.0
2015-06-08,3.1097,3.1161,3.0827,3.1099,3.1099,0.0
2015-06-09,3.0937,3.1,3.0615,3.0955,3.0955,0.0
2015-06-10,3.1145,3.166,3.0977,3.114,3.114,0.0
2015-06-11,3.0878,3.1241,3.0854,3.0871,3.0871,0.0
2015-06-14,3.1265,3.1334,3.0924,3.1168,3.1168,0.0
2015-06-15,3.1243,3.1352,3.0945,3.1235,3.1235,0.0
2015-06-16,3.0872,3.1008,3.0654,3.0869,3.0869,0.0
2015-06-17,3.0383,3.058,3.0286,3.0504,3.0504,0.0
2015-06-18,3.0618,3.0884,3.0393,3.0578,3.0578,0.0
2015-06-21,3.0902,3.0991,3.0651,3.0932,3.0932,0.0
2015-06-22,3.0847,3.1119,3.0701,3.0844,3.0844,0.0
2015-06-23,3.074,3.092,3.0566,3.0738,3.0738,0.0
2015-06-24,3.0955,3.1222,3.0732,3.0949,3.0949,0.0
2015-06-25,3.1249,3.1358,3.1054,3.1244,3.1244,0.0
2015-06-28,3.1679,3.1679,3.122,3.1257,3.1257,0.0
2015-06-29,3.1146,3.14,3.0838,3.115,3.115,0.0
2015-06-30,3.1097,3.1249,3.0943,3.108,3.108,0.0
2015-07-01,3.1457,3.1551,3.1006,3.1455,3.1455,0.0
2015-07-02,3.0955,3.1337,3.0856,3.094,3.094,0.0
2015-07-05,3.1585,3.1585,3.1272,3.1292,3.1292,0.0
2015-07-06,3.1261,3.1932,3.1261,3.1351,3.1351,0.0
2015-07-07,3.1785,3.2379,3.1785,3.1787,3.1787,0.0
2015-07-08,3.233,3.2338,3.2101,3.2317,3.2317,0.0
2015-07-09,3.2205,3.2228,3.1741,3.2211,3.2211,0.0
2015-07-12,3.165,3.1726,3.1449,3.1556,3.1556,0.0
2015-07-13,3.1316,3.1403,3.1106,3.1312,3.1312,0.0
2015-07-14,3.1369,3.1593,3.1178,3.1365,3.1365,0.0
2015-07-15,3.135,3.1478,3.126,3.1356,3.1356,0.0
2015-07-16,3.1511,3.1974,3.1329,3.1506,3.1506,0.0
2015-07-19,3.1863,3.2207,3.1703,3.1852,3.1852,0.0
2015-07-20,3.1911,3.1969,3.1669,3.1945,3.1945,0.0
2015-07-21,3.151,3.2235,3.151,3.1719,3.1719,0.0
2015-07-22,3.2203,3.2942,3.1985,3.2198,3.2198,0.0
2015-07-23,3.2843,3.3345,3.2666,3.2842,3.2842,0.0
2015-07-26,3.3504,3.3757,3.3432,3.356,3.356,0.0
2015-07-27,3.3618,3.4002,3.3403,3.3617,3.3617,0.0
2015-07-28,3.3547,3.3711,3.3266,3.3545,3.3545,0.0
2015-07-29,3.3238,3.3728,3.3079,3.3239,3.3239,0.0
2015-07-30,3.3701,3.4104,3.3315,3.3708,3.3708,0.0
2015-08-02,3.4243,3.4568,3.4008,3.4194,3.4194,0.0
2015-08-03,3.4495,3.4786,3.427,3.4488,3.4488,0.0
2015-08-04,3.4667,3.4947,3.4483,3.4663,3.4663,0.0
2015-08-05,3.4844,3.5629,3.4772,3.4838,3.4838,0.0
2015-08-06,3.531,3.563,3.49,3.5316,3.5316,0.0
2015-08-09,3.5076,3.5225,3.461,3.5316,3.5316,0.0
2015-08-10,3.436,3.5109,3.4186,3.4357,3.4357,0.0
2015-08-11,3.4716,3.5007,3.4458,3.471,3.471,0.0
2015-08-12,3.4506,3.5232,3.4506,3.4751,3.4751,0.0
2015-08-13,3.5197,3.521,3.4585,3.5193,3.5193,0.0
2015-08-16,3.4843,3.5019,3.4587,3.4779,3.4779,0.0
2015-08-17,3.4692,3.4993,3.4588,3.4766,3.4766,0.0
2015-08-18,3.4646,3.5043,3.455,3.4649,3.4649,0.0
2015-08-19,3.4884,3.5148,3.4566,3.4883,3.4883,0.0
2015-08-20,3.4584,3.4982,3.4414,3.4578,3.4578,0.0
2015-08-23,3.5017,3.5756,3.4848,3.498,3.498,0.0
2015-08-24,3.5474,3.5537,3.5104,3.5481,3.5481,0.0
2015-08-25,3.6129,3.6498,3.5828,3.6115,3.6115,0.0
2015-08-26,3.5941,3.5941,3.5415,3.5941,3.5941,0.0
2015-08-27,3.551,3.5955,3.5377,3.5502,3.5502,0.0
2015-08-30,3.5595,3.677,3.5595,3.5787,3.5787,0.0
2015-08-31,3.6178,3.6737,3.6166,3.6192,3.6192,0.0
2015-09-01,3.6925,3.7503,3.6803,3.6925,3.6925,0.0
2015-09-02,3.7533,3.8111,3.7367,3.7539,3.7539,0.0
2015-09-03,3.7363,3.8099,3.718,3.735,3.735,0.0
2015-09-06,3.8395,3.8408,3.8169,3.8397,3.8397,0.0
2015-09-07,3.8353,3.8361,3.7783,3.835,3.835,0.0
2015-09-08,3.7863,3.8185,3.7628,3.8159,3.8159,0.0
2015-09-09,3.7783,3.9041,3.7737,3.7787,3.7787,0.0
2015-09-10,3.8489,3.889,3.8169,3.8481,3.8481,0.0
2015-09-13,3.865,3.8863,3.8363,3.8682,3.8682,0.0
2015-09-14,3.8107,3.8681,3.7855,3.8107,3.8107,0.0
2015-09-15,3.8581,3.861,3.8188,3.8597,3.8597,0.0
2015-09-16,3.8312,3.9028,3.8068,3.8286,3.8286,0.0
2015-09-17,3.8932,3.9196,3.8631,3.8914,3.8914,0.0
2015-09-20,3.9174,3.993,3.9174,3.939,3.939,0.0
2015-09-21,,,,,,
2015-09-22,4.0474,4.1383,4.0115,4.0477,4.0477,0.0
2015-09-23,4.1738,4.2411,4.1441,4.1751,4.1751,0.0
2015-09-24,3.9335,4.0019,3.8823,3.933,3.933,0.0
2015-09-27,3.9713,4.0368,3.9708,3.9676,3.9676,0.0
2015-09-28,4.1038,4.1443,4.0714,4.1037,4.1037,0.0
2015-09-29,4.0549,4.06,3.9503,4.0544,4.0544,0.0
2015-09-30,3.9455,3.9931,3.9348,3.9457,3.9457,0.0
2015-10-01,3.9993,4.0373,3.9572,3.9988,3.9988,0.0
2015-10-04,3.9263,3.9449,3.8837,3.9275,3.9275,0.0
2015-10-05,3.9109,3.9377,3.8271,3.9099,3.9099,0.0
2015-10-06,3.8504,3.8529,3.7869,3.849,3.849,0.0
2015-10-07,3.8794,3.9037,3.8174,3.8803,3.8803,0.0
2015-10-08,3.7808,3.7832,3.7201,3.7819,3.7819,0.0
2015-10-11,3.7615,3.7635,3.738,3.7591,3.7591,0.0
2015-10-12,3.76,3.8463,3.7359,3.7605,3.7605,0.0
2015-10-13,3.8888,3.8901,3.8322,3.8888,3.8888,0.0
2015-10-14,3.8067,3.8691,3.7781,3.8071,3.8071,0.0
2015-10-15,3.7933,3.8561,3.7902,3.7925,3.7925,0.0
2015-10-18,3.9146,3.9272,3.8606,3.9207,3.9207,0.0
2015-10-19,3.8863,3.8883,3.8436,3.8878,3.8878,0.0
2015-10-20,3.873,3.9603,3.873,3.9023,3.9023,0.0
2015-10-21,3.9358,3.9583,3.9023,3.9367,3.9367,0.0
2015-10-22,3.9025,3.9245,3.8616,3.9023,3.9023,0.0
2015-10-26,3.8713,3.8938,3.8246,3.8756,3.8756,0.0
2015-10-27,3.9037,3.9272,3.8842,3.9039,3.9039,0.0
2015-10-28,3.8839,3.9047,3.8582,3.8834,3.8834,0.0
2015-10-29,3.8963,3.9525,3.8925,3.8972,3.8972,0.0
2015-10-30,3.8441,3.884,3.825,3.8447,3.8447,0.0
2015-11-02,3.8386,3.8537,3.8331,3.8514,3.8514,0.0
2015-11-03,3.8706,3.8706,3.7757,3.8702,3.8702,0.0
2015-11-04,3.7676,3.8103,3.7444,3.7671,3.7671,0.0
2015-11-05,3.7935,3.8127,3.7643,3.7956,3.7956,0.0
2015-11-06,3.7785,3.8368,3.7587,3.7801,3.7801,0.0
2015-11-09,3.7765,3.8002,3.7615,3.7663,3.7663,0.0
2015-11-10,3.7977,3.8186,3.7706,3.7991,3.7991,0.0
2015-11-11,3.745,3.7609,3.7033,3.7454,3.7454,0.0
2015-11-12,3.7634,3.8198,3.743,3.7629,3.7629,0.0
2015-11-13,3.7668,3.8225,3.7591,3.7669,3.7669,0.0
2015-11-16,3.8622,3.8622,3.8169,3.8406,3.8406,0.0
2015-11-17,3.8251,3.8261,3.7835,3.8256,3.8256,0.0
2015-11-18,3.8076,3.8091,3.7696,3.8083,3.8083,0.0
2015-11-19,3.7677,3.768,3.7159,3.7671,3.7671,0.0
2015-11-20,3.7616,3.7616,3.7017,3.7612,3.7612,0.0
2015-11-23,3.7002,3.734,3.6881,3.6996,3.6996,0.0
2015-11-24,3.7287,3.7404,3.6913,3.7289,3.7289,0.0
2015-11-25,3.6956,3.8013,3.6909,3.6962,3.6962,0.0
2015-11-26,3.7405,3.7635,3.7309,3.7394,3.7394,0.0
2015-11-27,3.7396,3.7657,3.7128,3.7384,3.7384,0.0
2015-11-30,3.8414,3.9105,3.7274,3.8414,3.8414,0.0
2015-12-01,3.8671,3.8989,3.8311,3.8666,3.8666,0.0
2015-12-02,3.8501,3.8607,3.8354,3.8506,3.8506,0.0
2015-12-03,3.8322,3.8322,3.7695,3.8323,3.8323,0.0
2015-12-04,3.7562,3.7834,3.7205,3.7559,3.7559,0.0
2015-12-07,3.755,3.7716,3.7258,3.751,3.751,0.0
2015-12-08,3.7599,3.8155,3.7423,3.7595,3.7595,0.0
2015-12-09,3.8152,3.8163,3.717,3.8145,3.8145,0.0
2015-12-10,3.7436,3.7799,3.7362,3.7427,3.7427,0.0
2015-12-11,3.8077,3.884,3.8004,3.8078,3.8078,0.0
2015-12-14,3.868,3.9188,3.8588,3.8127,3.8127,0.0
2015-12-15,3.8835,3.8895,3.8475,3.8844,3.8844,0.0
2015-12-16,3.9065,3.9598,3.8993,3.9059,3.9059,0.0
2015-12-17,3.8927,3.9124,3.8557,3.8929,3.8929,0.0
2015-12-18,3.8757,3.9327,3.8718,3.8763,3.8763,0.0
2015-12-21,3.9767,4.0353,3.9586,3.9784,3.9784,0.0
2015-12-22,4.0118,4.0129,3.9563,4.0114,4.0114,0.0
2015-12-23,3.9842,3.9927,3.9523,3.9852,3.9852,0.0
2015-12-24,3.9409,3.9416,3.9329,3.941,3.941,0.0
2015-12-25,3.9128,3.9128,3.9128,3.913,3.913,0.0
2015-12-28,3.9098,3.959,3.8751,3.9082,3.9082,0.0
2015-12-29,3.8554,3.8658,3.836,3.8551,3.8551,0.0
2015-12-30,3.8641,3.9992,3.8498,3.8641,3.8641,0.0
2015-12-31,3.9566,3.96,3.9555,3.9567,3.9567,0.0
2016-01-01,3.95,3.95,3.95,3.95,3.95,0.0
2016-01-04,3.9605,4.0594,3.9557,3.9491,3.9491,0.0
2016-01-05,4.0371,4.0531,3.9957,4.0373,4.0373,0.0
2016-01-06,4.0271,4.0505,4.006,4.0269,4.0269,0.0
2016-01-07,4.0209,4.0687,4.0184,4.0199,4.0199,0.0
2016-01-08,4.0417,4.0434,4.0022,4.0415,4.0415,0.0
2016-01-11,4.0201,4.0469,3.9924,3.9932,3.9932,0.0
2016-01-12,4.0503,4.0519,4.0075,4.0504,4.0504,0.0
2016-01-13,4.0251,4.0262,3.9668,4.0252,4.0252,0.0
2016-01-14,4.0144,4.0368,3.9868,4.0141,4.0141,0.0
2016-01-15,4.0059,4.0554,4.0026,4.0059,4.0059,0.0
2016-01-18,4.0429,4.0483,4.0135,4.0043,4.0043,0.0
2016-01-19,4.0524,4.0557,3.9981,4.0523,4.0523,0.0
2016-01-20,4.0584,4.1094,4.057,4.0584,4.0584,0.0
2016-01-21,4.1016,4.1669,4.0974,4.1014,4.1014,0.0
2016-01-22,4.1538,4.1542,4.0996,4.1535,4.1535,0.0
