Date,Adj Close
2012-09-02,2.0277
2012-09-03,2.0286
2012-09-04,2.0367
2012-09-05,2.0362
2012-09-06,2.025
2012-09-09,2.0253
2012-09-10,2.0193
2012-09-11,2.0119
2012-09-12,2.0238
2012-09-13,2.0182
2012-09-16,2.0093
2012-09-17,2.0303
2012-09-18,2.0199
2012-09-19,2.0215
2012-09-20,2.0181
2012-09-23,2.0188
2012-09-24,2.0235
2012-09-25,2.0282
2012-09-26,2.0332
2012-09-27,2.027
2012-09-30,2.0226
2012-10-01,2.023
2012-10-02,2.0251
2012-10-03,2.0187
2012-10-04,2.0161
2012-10-07,1.9974
2012-10-08,2.0287
2012-10-09,2.0307
2012-10-10,2.0394
2012-10-11,2.0391
2012-10-14,2.0419
2012-10-15,2.0355
2012-10-16,2.0334
2012-10-17,2.0299
2012-10-18,2.026
2012-10-21,2.026
2012-10-22,2.023
2012-10-23,2.0254
2012-10-24,2.0241
2012-10-25,2.024
2012-10-29,2.0252
2012-10-30,2.0309
2012-10-31,2.029
2012-11-01,2.0279
2012-11-02,2.0295
2012-11-05,2.0288
2012-11-06,2.0342
2012-11-07,2.0291
2012-11-08,2.033
2012-11-09,2.0372
2012-11-12,2.0445
2012-11-13,2.0493
2012-11-14,2.0572
2012-11-15,2.0637
2012-11-16,2.0648
2012-11-19,2.0806
2012-11-20,2.0772
2012-11-21,2.0802
2012-11-22,2.0956
2012-11-23,2.1033
2012-11-26,2.0801
2012-11-27,2.0813
2012-11-28,2.083
2012-11-29,2.0919
2012-11-30,2.0956
2012-12-03,2.1339
2012-12-04,2.1191
2012-12-05,2.1183
2012-12-06,2.0871
2012-12-07,2.076
2012-12-10,2.0735
2012-12-11,2.0762
2012-12-12,2.0756
2012-12-13,2.0704
2012-12-14,2.0843
2012-12-17,2.0851
2012-12-18,2.0951
2012-12-19,2.088
2012-12-20,2.0692
2012-12-21,2.0693
2012-12-24,2.0563
2012-12-25,2.0749
2012-12-26,2.0771
2012-12-27,2.048
2012-12-28,2.0417
2012-12-31,2.0451
2013-01-01,2.0507
2013-01-02,2.0456
2013-01-03,2.0456
2013-01-04,2.0487
2013-01-07,2.0324
2013-01-08,2.0264
2013-01-09,2.0401
2013-01-10,2.0477
2013-01-11,2.0277
2013-01-14,2.0297
2013-01-15,2.0324
2013-01-16,
2013-01-17,2.0408
2013-01-18,2.0371
2013-01-21,2.0298
2013-01-22,2.0387
2013-01-23,2.041
2013-01-24,2.0339
2013-01-25,2.0285
2013-01-28,2.0285
2013-01-29,1.9941
2013-01-30,1.9864
2013-01-31,1.9883
2013-02-01,1.9906
2013-02-04,1.9864
2013-02-05,1.9947
2013-02-06,1.9829
2013-02-07,1.9859
2013-02-08,1.9635
2013-02-11,1.9701
2013-02-12,1.9707
2013-02-13,1.9688
2013-02-14,1.9641
2013-02-15,1.9562
2013-02-18,1.9652
2013-02-19,1.9597
2013-02-20,1.9539
2013-02-21,1.9601
2013-02-22,1.9718
2013-02-25,1.9691
2013-02-26,1.9805
2013-02-27,1.9821
2013-02-28,1.9744
2013-03-01,1.9777
2013-03-04,1.9811
2013-03-05,1.9711
2013-03-06,1.9625
2013-03-07,1.9707
2013-03-08,1.9595
2013-03-11,1.9419
2013-03-12,1.9573
2013-03-13,1.9656
2013-03-14,1.9715
2013-03-15,1.972
2013-03-18,1.9788
2013-03-19,1.9828
2013-03-20,1.9826
2013-03-21,1.9844
2013-03-22,2.0051
2013-03-25,2.0065
2013-03-26,2.006
2013-03-27,2.0149
2013-03-28,2.0102
2013-03-29,2.0192
2013-03-31,2.019
2013-04-01,2.0151
2013-04-02,2.0186
2013-04-03,2.021
2013-04-04,2.0128
2013-04-07,1.9832
2013-04-08,1.9897
2013-04-09,1.9806
2013-04-10,1.9732
2013-04-11,1.9748
2013-04-14,1.9662
2013-04-15,1.998
2013-04-16,1.9846
2013-04-17,1.9971
2013-04-18,1.9817
2013-04-21,2.0052
2013-04-22,2.0159
2013-04-23,2.0184
2013-04-24,2.0087
2013-04-25,1.9993
2013-04-28,1.9933
2013-04-29,2.0057
2013-04-30,2.0015
2013-05-01,2.0017
2013-05-02,2.0069
2013-05-05,2.0054
2013-05-06,2.0059
2013-05-07,2.0058
2013-05-08,2.0007
2013-05-09,2.0093
2013-05-12,2.0138
2013-05-13,2.0062
2013-05-14,2.0184
2013-05-15,2.0199
2013-05-16,2.0226
2013-05-19,2.0312
2013-05-20,2.0357
2013-05-21,2.0328
2013-05-22,2.0456
2013-05-23,2.0411
2013-05-26,2.0469
2013-05-27,2.0535
2013-05-28,2.0738
2013-05-29,2.1073
2013-05-30,2.1077
2013-06-02,2.0899
2013-06-03,2.1213
2013-06-04,2.124
2013-06-05,2.1251
2013-06-06,2.1274
2013-06-09,2.1274
2013-06-10,2.1274
2013-06-11,2.1274
2013-06-12,2.1527
2013-06-13,2.1168
2013-06-16,2.0964
2013-06-17,2.1678
2013-06-18,2.1776
2013-06-19,2.2242
2013-06-20,2.2557
2013-06-23,2.2385
2013-06-24,2.2256
2013-06-25,2.2102
2013-06-26,2.1862
2013-06-27,2.1959
2013-06-30,2.1892
2013-07-01,2.2231
2013-07-02,2.2472
2013-07-03,2.2634
2013-07-04,2.246
2013-07-07,2.2475
2013-07-08,2.2615
2013-07-09,2.2541
2013-07-10,2.2704
2013-07-11,2.252
2013-07-14,2.2619
2013-07-15,2.2163
2013-07-16,2.2488
2013-07-17,2.2229
2013-07-18,2.2218
2013-07-21,2.2448
2013-07-22,2.2302
2013-07-23,2.21
2013-07-24,2.2436
2013-07-25,2.2407
2013-07-28,2.2544
2013-07-29,2.2666
2013-07-30,2.2794
2013-07-31,2.2737
2013-08-01,2.3012
2013-08-04,2.284
2013-08-05,2.3026
2013-08-06,2.2952
2013-08-07,2.3041
2013-08-08,2.2785
2013-08-11,2.2686
2013-08-12,2.2845
2013-08-13,2.3107
2013-08-14,2.3215
2013-08-15,2.3378
2013-08-18,2.3875
2013-08-19,2.4096
2013-08-20,2.3939
2013-08-21,2.4478
2013-08-22,2.4325
2013-08-25,2.3455
2013-08-26,2.3762
2013-08-27,2.3684
2013-08-28,2.3425
2013-08-29,2.3561
